Users,Requests,Datacenter,Min,Max,Mean,Median,StandardDev
250,1,Datacenter_NorthAmerica,1180.232092229896,2166.382948663008,1536.9372113474997,1492.1922435100046,260.5785852935425
250,1,Datacenter_SouthAmerica,1480.3984687832085,2631.942800458486,1862.4797994842104,1810.2732967055606,287.65965924041643
250,1,Datacenter_Europe,512.9089809253245,2337.8253933269693,1225.2110204172668,1229.9004617300543,496.1648489229849
250,1,Datacenter_Asia,1427.062999894315,2573.956245701114,1743.3494521218984,1686.752790634861,248.4898744060762
250,2,Datacenter_NorthAmerica,1174.5568731164442,3435.155712379374,1823.345459535115,1636.97450568998,582.8939276773547
250,2,Datacenter_SouthAmerica,1473.397669967204,3543.8345941996895,2039.6040236230197,1793.7437520253743,555.0225391619888
250,2,Datacenter_Europe,517.5000854888215,3684.7180555873424,1973.901789495766,1941.7811214514898,911.4606835726394
250,2,Datacenter_Asia,1424.8408367918114,3605.576440598491,2024.244850912531,1846.611124873426,552.2301595440485
250,3,Datacenter_NorthAmerica,1167.325919661777,3447.6767798474357,2113.1454181448908,2018.9757895622474,710.8336389046996
250,3,Datacenter_SouthAmerica,1478.9139724882325,3917.4359433018494,2425.3393357508703,2256.6565274832865,689.2430559129917
250,3,Datacenter_Europe,511.29603696957247,5764.7688859036225,2751.802715361157,2660.549594164712,1388.1901946957078
250,3,Datacenter_Asia,1424.5722642726982,3756.2658124721434,2380.3862857539225,2318.3834125484323,688.0968594351957
250,4,Datacenter_NorthAmerica,1175.3526360402047,4589.306276075602,2537.563284373342,2589.849901385303,973.8930726472464
250,4,Datacenter_SouthAmerica,1479.5101232285801,5110.657310168991,2884.306282225961,2905.3424348130993,1007.9918403982082
250,4,Datacenter_Europe,513.6107888760681,6938.31846976864,3545.3082323505146,3533.9420889592793,1829.0793777540455
250,4,Datacenter_Asia,1423.2695240566272,4872.186903556357,2792.5131337210178,2836.4897134685157,989.3923440581117
250,5,Datacenter_NorthAmerica,1176.847801085604,5909.2467441790595,2883.4550045448373,2792.2162559015546,1159.1705938429009
250,5,Datacenter_SouthAmerica,1476.3704275547884,6457.000660656517,3185.5002537084606,3106.3079489315314,1159.6645290780905
250,5,Datacenter_Europe,511.8562608073431,8673.179429260352,4331.592848522425,4394.416899150393,2294.9138451156823
250,5,Datacenter_Asia,1423.5861737989335,5972.8231955604915,3098.3331869449125,2975.6667091755053,1156.1401385200168
500,1,Datacenter_NorthAmerica,1171.216305685704,3248.7238594399378,1763.7645694189082,1547.5543595887443,568.5276877795646
500,1,Datacenter_SouthAmerica,1494.6114339251899,3630.7786271748514,2023.0695037540456,1815.3743589297392,550.8020739266562
500,1,Datacenter_Europe,510.61195353587635,3658.9859926963863,1932.1855463771521,1916.5363191099505,909.2269642308686
500,1,Datacenter_Asia,1423.0068232804597,3880.1798099767475,2069.97360782645,1889.9427402376782,601.3667205777808
500,2,Datacenter_NorthAmerica,1167.6754821897869,5000.018753209741,2604.0789593866334,2661.9278024504383,992.8700125259094
500,2,Datacenter_SouthAmerica,1481.9454428206507,5126.979426356304,2833.9597787587195,2873.8446605337585,985.4148419009505
500,2,Datacenter_Europe,511.797928254805,6795.213546046933,3545.9029772552326,3545.9411555688016,1830.6864944577874
500,2,Datacenter_Asia,1424.8637643806378,4998.243294345213,2797.110995874386,2863.283790722484,973.2378105605497
500,3,Datacenter_NorthAmerica,1168.7316371242132,6233.6303713000125,3286.8029889395116,3074.798553732204,1413.4084887516549
500,3,Datacenter_SouthAmerica,1475.7093323410973,6303.037715584246,3609.541736271329,3454.683727770879,1408.638014759373
500,3,Datacenter_Europe,514.1359793540428,10068.403785044688,5116.894690507454,5136.4292999385725,2744.959372945974
500,3,Datacenter_Asia,1426.4725649638185,6394.4979741325305,3592.8048495347875,3506.9428621664347,1418.46158142527
500,4,Datacenter_NorthAmerica,1168.6621561761458,7388.6136805701435,4037.860826617661,3993.1918300272728,1824.0651650421858
500,4,Datacenter_SouthAmerica,1477.1590408570405,7632.664230842731,4363.211264016434,4309.609572049345,1822.2041325370649
500,4,Datacenter_Europe,512.5339369207779,13353.070431986225,6693.74102039463,6690.949878058187,3656.5398125601537
500,4,Datacenter_Asia,1435.8755048634757,7619.449231234474,4360.002732030263,4294.972131524473,1826.796839824065
500,5,Datacenter_NorthAmerica,1176.9694974134736,10096.916907356472,4870.04639370697,5050.873553923952,2308.716320905405
500,5,Datacenter_SouthAmerica,1470.2131706887599,10225.214610492993,5201.128670612065,5330.726928783287,2307.9458916101858
500,5,Datacenter_Europe,518.8393677859126,16536.625394768515,8284.242957668963,8316.807308556155,4569.921860532736
500,5,Datacenter_Asia,1421.5088293446818,10161.668839025548,5110.942252166702,5292.487949669088,2309.4719549702518
750,1,Datacenter_NorthAmerica,1175.323214468006,3613.7182296000065,2158.1820127589326,2060.2063512647887,711.0776795893582
750,1,Datacenter_SouthAmerica,1471.626467022057,3799.4821618423016,2382.724502641503,2290.2505353678016,694.3334944000147
750,1,Datacenter_Europe,512.3741976938726,5395.883131434683,2755.3944905886465,2693.572888181411,1381.9000026204571
750,1,Datacenter_Asia,1423.913522085011,3663.1940542388274,2346.690923868383,2238.775446324569,693.8011754672945
750,2,Datacenter_NorthAmerica,1172.7431964499333,6278.2924306293,3300.3600460211137,3159.5860153604435,1415.0193507566419
750,2,Datacenter_SouthAmerica,1477.621773392424,6518.006035634561,3613.126723033905,3387.9203429496424,1411.306826848248
750,2,Datacenter_Europe,510.556369573993,10057.942075510113,5126.439440247448,5124.84485923254,2743.7358799435547
750,2,Datacenter_Asia,1423.959729983148,6364.076717013213,3524.265386680608,3298.141900399931,1397.5111580744624
750,3,Datacenter_NorthAmerica,1167.000539032878,8739.862870728008,4457.050830979338,4280.026648793111,2105.332223877136
750,3,Datacenter_SouthAmerica,1494.2416450346157,8798.478438088317,4788.303560951963,4603.01459776367,2094.380888442292
750,3,Datacenter_Europe,510.89394185472383,15066.76023913913,7514.5841672859815,7579.007488155956,4123.679464521561
750,3,Datacenter_Asia,1429.7322776772107,8884.784393831316,4709.620436913052,4473.359154427308,2089.531754718288
750,4,Datacenter_NorthAmerica,1173.9826178020867,11618.174807020905,5659.145959826965,5495.860803062507,2770.9576222459623
750,4,Datacenter_SouthAmerica,1469.465995110349,11726.603435187692,5921.3290625217005,5746.921553084694,2767.179416334138
750,4,Datacenter_Europe,522.4230364796666,19676.806000984485,9884.481633855701,9856.960456967558,5483.591427760454
750,4,Datacenter_Asia,1424.4307243902279,11488.31768156378,5915.910945242444,5762.3639976339455,2768.12914371618
750,5,Datacenter_NorthAmerica,1167.2329862035913,13775.325830133539,6827.577123174576,6696.749441615188,3443.0166914012993
750,5,Datacenter_SouthAmerica,1468.4538670598856,13898.253407980967,7153.114055270598,7028.202505893478,3446.978644378211
750,5,Datacenter_Europe,513.1702118116517,24697.910321858122,12229.817305819868,12217.353606949579,6851.544979585563
750,5,Datacenter_Asia,1440.265760317169,14065.678346576486,7064.582692313516,6923.347804132807,3445.4298787213206
1000,1,Datacenter_NorthAmerica,1171.136952658152,4887.449975584915,2556.4443376558793,2580.298025084432,994.0542692943256
1000,1,Datacenter_SouthAmerica,1472.5014143781814,5142.524148167557,2825.7333327660403,2892.4947552079707,991.2479819618867
1000,1,Datacenter_Europe,512.5771920142516,6855.542089914685,3553.108694786435,3539.4743469643936,1828.0572674665507
1000,1,Datacenter_Asia,1429.187351321008,4993.06831821975,2765.425833280789,2803.5390738950946,985.1547597709007
1000,2,Datacenter_NorthAmerica,1169.3979870050243,7367.370312345541,4098.07350631728,4074.7474164037235,1824.8884122284826
1000,2,Datacenter_SouthAmerica,1472.4201193139374,7745.9870418116325,4361.977220464938,4252.880524420124,1830.804837091761
1000,2,Datacenter_Europe,510.56963009868366,13585.021406580374,6723.106535401065,6655.481229361324,3663.7186566354108
1000,2,Datacenter_Asia,1427.6070923521706,7727.41671948159,4340.8007595118515,4298.857802682616,1825.394671825694
1000,3,Datacenter_NorthAmerica,1177.1908234714638,11172.21691627588,5646.872594567528,5499.010925324738,2773.8161785532347
1000,3,Datacenter_SouthAmerica,1473.5852341020145,11392.782350988331,5947.959077641934,5746.377010589463,2776.434487263797
1000,3,Datacenter_Europe,510.51318662562625,19789.497080959394,9882.745998404595,9854.009057288295,5484.550570236239
1000,3,Datacenter_Asia,1429.1025177359911,11589.270767151462,5909.8318082187325,5771.2809721366,2776.0098656305017
1000,4,Datacenter_NorthAmerica,1171.093447504229,13847.935063784838,7234.182243157859,7271.3147433463855,3659.5379299048104
1000,4,Datacenter_SouthAmerica,1480.6131529730778,14689.572056443652,7519.84057549218,7549.322139465022,3664.3712023280477
1000,4,Datacenter_Europe,511.23430141001944,25996.804081791288,13032.524173721502,12992.126565375998,7307.489194171193
1000,4,Datacenter_Asia,1439.4767911184445,14127.798101698301,7449.772832455855,7465.0531440141085,3658.360512109891
1000,5,Datacenter_NorthAmerica,1167.5133713531204,17653.10236212188,8857.674656393066,8962.031994955807,4589.180585998476
1000,5,Datacenter_SouthAmerica,1484.2473739595985,18188.886588260415,9105.65604092738,9215.848633264812,4580.161301450404
1000,5,Datacenter_Europe,512.9157479957619,32815.339335454715,16223.798126322668,16217.442419135165,9147.449623822817
1000,5,Datacenter_Asia,1421.0541680024207,17958.587714500907,9056.173800985489,9142.675316829942,4586.524690087682
1250,1,Datacenter_NorthAmerica,1168.807046622627,5990.31294663704,2876.9105953020917,2743.357399271329,1159.3028199192843
1250,1,Datacenter_SouthAmerica,1474.293622497898,6375.177014674259,3165.298729048279,3047.148215234377,1165.9268211562617
1250,1,Datacenter_Europe,513.2182966497304,8613.021655336384,4336.019898446107,4387.896151628422,2292.202396850346
1250,1,Datacenter_Asia,1424.0893091478356,6061.0127285649,3146.1152959516726,3056.760281783786,1146.6701029614028
1250,2,Datacenter_NorthAmerica,1169.8940770413778,10258.725924943516,4842.052802499144,5044.035361403101,2310.5520246778156
1250,2,Datacenter_SouthAmerica,1468.813879613011,10014.356711360771,5189.0094987480115,5362.495769137206,2301.200081467413
1250,2,Datacenter_Europe,513.1724251077267,16439.80953149553,8284.986693863837,8308.629991719312,4571.405109736929
1250,2,Datacenter_Asia,1424.6384657447118,9968.66638863977,5090.413595357927,5271.267711867351,2311.859951097262
1250,3,Datacenter_NorthAmerica,1169.881054314994,13640.871177440578,6829.948615320263,6719.6218951513065,3446.87497627284
1250,3,Datacenter_SouthAmerica,1471.8672076855855,14117.63624602674,7102.421695173461,6923.207647146236,3452.216867410299
1250,3,Datacenter_Europe,513.00566012636,24674.150978002428,12222.647371937936,12187.487293876355,6848.966093366972
1250,3,Datacenter_Asia,1424.3831876264023,14002.326948799333,7098.344398782509,6981.502335441608,3453.672667082612
1250,4,Datacenter_NorthAmerica,1166.968248596835,17759.198377443277,8773.415869657041,8903.102190982047,4581.530572831263
1250,4,Datacenter_SouthAmerica,1468.5828698002283,18080.27277566782,9089.953468087557,9191.358923386462,4578.566265274696
1250,4,Datacenter_Europe,513.5643743820032,32370.166528297592,16209.872351284042,16219.660781599841,9131.963049798762
1250,4,Datacenter_Asia,1423.7928951508309,17693.69140552717,9057.596474825406,9166.487761548162,4575.629421910566
1250,5,Datacenter_NorthAmerica,1176.3248942642422,21753.523927301496,10756.178510074638,10621.747111794723,5713.241359337757
1250,5,Datacenter_SouthAmerica,1470.2076399781654,21818.35448292834,11077.179173987082,10974.044325491428,5716.199280061721
1250,5,Datacenter_Europe,510.66946192320194,40258.08426377698,20166.823832198814,20220.37018683559,11435.147790813908
1250,5,Datacenter_Asia,1427.863964545724,21577.503686737953,11023.771966210048,10844.046159897129,5713.2462092165615
1500,1,Datacenter_NorthAmerica,1172.6020693951382,6201.578391876496,3250.8764331397497,3007.6633020845684,1409.2621892354953
1500,1,Datacenter_SouthAmerica,1468.7826579337984,6420.360356942774,3547.8803058548733,3342.3929156599834,1413.0620016295406
1500,1,Datacenter_Europe,511.5905393309991,10116.97585333601,5141.081590476089,5161.956356941404,2745.820680228377
1500,1,Datacenter_Asia,1432.446023498631,6489.250949983553,3613.5151905052185,3431.313603007912,1409.00220785314
1500,2,Datacenter_NorthAmerica,1168.3469135211978,11009.267033059716,5635.724479662131,5441.535786063058,2765.0701003101995
1500,2,Datacenter_SouthAmerica,1479.789006669043,11355.910295108359,5935.456921802956,5768.266149874949,2769.9037192133574
1500,2,Datacenter_Europe,510.91156153637877,19685.758826819143,9885.291486126896,9843.100421300422,5484.076719523188
1500,2,Datacenter_Asia,1426.4335302231207,11560.509233467434,5896.6483024478,5686.227035221367,2778.442989929589
1500,3,Datacenter_NorthAmerica,1171.1323159648064,16264.901691795194,8021.550300194588,7892.738995578165,4122.120555945511
1500,3,Datacenter_SouthAmerica,1472.8636574708416,16665.37662657346,8328.963038460333,8224.289498784,4118.070371498396
1500,3,Datacenter_Europe,510.4988493543505,29339.20914764619,14625.964962154483,14636.66633791833,8229.70212203967
1500,3,Datacenter_Asia,1421.0313767415996,16499.79648381199,8216.100795836799,8120.433242767374,4127.858514044142
1500,4,Datacenter_NorthAmerica,1168.9416934699507,20467.47584408803,10364.651319313167,10350.76296109871,5487.605077864558
1500,4,Datacenter_SouthAmerica,1474.2358444502445,20578.9460937716,10649.506163184948,10621.718849063906,5475.815890508864
1500,4,Datacenter_Europe,511.5540526872241,38978.878826898326,19366.372208556826,19314.133838665257,10974.79982880558
1500,4,Datacenter_Asia,1421.042391875877,20671.32062667408,10569.847557012206,10530.08636402664,5474.997176663356
1500,5,Datacenter_NorthAmerica,1169.889193190636,25564.183229568618,12780.111295980845,12824.483215519635,6855.084477154446
1500,5,Datacenter_SouthAmerica,1479.2381059322652,25730.540909123752,13029.206777483874,13108.99699202536,6841.808069517115
1500,5,Datacenter_Europe,521.4209929188788,48981.09028922382,24132.694418630737,24212.50967997744,13710.501227821813
1500,5,Datacenter_Asia,1424.0614961896226,26015.435237253532,13039.662440160291,13085.229913546482,6865.385199989955
